checking_status duration credit_history purpose credit_amount savings_status employment installment_commitment personal_status other_parties residence_since property_magnitude age other_payment_plans housing existing_credits job num_dependents own_telephone foreign_worker Runtime
0.25 0.33333333333333337 0.19999999999999996 0.09999999999999998 0.25 0.4 0.4 0.5 0.375 0.33333333333333337 0.375 0.375 0.25 0.33333333333333337 0.33333333333333337 0.375 0.25 0.25 0.25 0.5 5.35223157
0.75 0.33333333333333337 0.19999999999999998 0.09999999999999998 0.75 0.8 0.8 0.16666666666666666 0.5 0.6666666666666667 0.125 0.5 0.75 0.6666666666666667 0.6666666666666667 0.125 0.75 0.25 0.5 0.5 14.97957128
0.75 0.33333333333333337 0.09999999999999998 0.4 0.125 0.4 0.3 0.375 0.375 0.33333333333333337 0.125 0.25 0.25 0.22222222222222224 0.33333333333333337 0.125 0.25 0.16666666666666666 0.25 0.25 43.79214911
0.375 0.33333333333333337 0.3 0.4 0.125 0.4 0.4 0.25 0.375 0.33333333333333337 0.125 0.25 0.375 0.16666666666666669 0.33333333333333337 0.25 0.375 0.25 0.25 0.16666666666666666 30.08980086
0.75 0.33333333333333337 0.2 0.35 0.375 0.19999999999999996 0.3 0.25 0.125 0.33333333333333337 0.375 0.125 0.375 0.33333333333333337 0.22222222222222224 0.25 0.375 0.16666666666666666 0.16666666666666666 0.25 45.06185001
0.5 0.33333333333333337 0.4 0.19999999999999996 0.25 0.8 0.2 0.125 0.125 0.16666666666666669 0.125 0.25 0.25 0.16666666666666669 0.33333333333333337 0.125 0.375 0.5 0.16666666666666666 0.16666666666666666 205.95136371
0.25 0.33333333333333337 0.19999999999999996 0.6 0.5 0.8 0.4 0.25 0.25 0.16666666666666669 0.25 0.375 0.25 0.16666666666666669 0.33333333333333337 0.125 0.25 0.25 0.25 0.16666666666666666 33.77664901
0.75 0.6666666666666667 0.1 0.2333333333333333 0.5 0.4 0.3 0.25 0.125 0.16666666666666669 0.125 0.25 0.25 0.11111111111111112 0.16666666666666669 0.25 0.25 0.25 0.16666666666666666 0.25 187.25339636
0.75 0.6666666666666667 0.4 0.19999999999999996 0.75 0.8 0.09999999999999998 0.375 0.25 0.33333333333333337 0.25 0.75 0.5 0.16666666666666669 0.33333333333333337 0.5 0.25 0.25 0.25 0.16666666666666666 15.06509029
0.125 0.33333333333333337 0.3 0.2 0.375 0.19999999999999996 0.09999999999999998 0.25 0.25 0.16666666666666669 0.125 0.375 0.125 0.16666666666666669 0.33333333333333337 0.16666666666666666 0.25 0.25 0.16666666666666666 0.25 51.41780134
0.25 0.33333333333333337 0.19999999999999996 0.35 0.375 0.2 0.2 0.25 0.25 0.22222222222222224 0.25 0.125 0.375 0.22222222222222224 0.16666666666666669 0.08333333333333333 0.25 0.16666666666666666 0.16666666666666666 0.16666666666666666 118.39434449
0.75 0.33333333333333337 0.06666666666666665 0.19999999999999996 0.375 0.19999999999999996 0.19999999999999996 0.25 0.375 0.16666666666666669 0.375 0.5 0.5 0.16666666666666669 0.33333333333333337 0.375 0.75 0.25 0.25 0.5 13.31571222
0.25 0.6666666666666667 0.09999999999999998 0.4 0.375 0.6 0.4 0.375 0.16666666666666666 0.33333333333333337 0.375 0.375 0.25 0.16666666666666669 0.33333333333333337 0.125 0.375 0.25 0.25 0.25 21.86243114
0.25 0.33333333333333337 0.26666666666666666 0.25 0.375 0.4 0.26666666666666666 0.25 0.25 0.16666666666666669 0.125 0.125 0.25 0.16666666666666669 0.22222222222222224 0.25 0.25 0.16666666666666666 0.16666666666666666 0.25 105.69913322
0.75 0.33333333333333337 0.09999999999999998 0.3 0.375 0.8 0.09999999999999998 0.125 0.25 0.33333333333333337 0.16666666666666666 0.375 0.25 0.22222222222222224 0.22222222222222224 0.125 0.75 0.25 0.25 0.5 35.88446883
