checking_status duration credit_history purpose credit_amount savings_status employment installment_commitment personal_status other_parties residence_since property_magnitude age other_payment_plans housing existing_credits job num_dependents own_telephone foreign_worker Runtime
(1.0, 0.75) (1.0, 0.33333333333333337) (0.5, 0.19999999999999996) (0.5, 0.8) (0.5, 0.25) (0.5, 0.8) (0.5, 0.6) (0.5, 0.75) (0.5, 0.75) (0.5, 0.6666666666666667) (0.5, 0.25) (0.3333333333333333, 0.75) (0.5, 0.5) (0.3333333333333333, 0.6666666666666667) (0.5, 0.6666666666666667) (0.5, 0.25) (1.0, 0.25) (0.3333333333333333, 0.5) (0.5, 0.5) (0.5, 0.5) 43.82538290
(0.5, 0.75) (0.5, 0.6666666666666667) (0.5, 0.6) (0.5, 0.8) (0.5, 0.25) (0.5, 0.8) (0.5, 0.8) (0.5, 0.5) (0.5, 0.75) (0.5, 0.6666666666666667) (0.5, 0.25) (0.5, 0.5) (0.5, 0.75) (0.5, 0.33333333333333337) (0.5, 0.6666666666666667) (0.5, 0.5) (0.5, 0.75) (0.5, 0.5) (0.5, 0.5) (0.3333333333333333, 0.5) 30.11551194
(1.0, 0.75) (1.0, 0.33333333333333337) (0.5, 0.4) (0.5, 0.7) (0.5, 0.75) (1.0, 0.19999999999999996) (0.5, 0.6) (0.5, 0.5) (0.5, 0.25) (0.5, 0.6666666666666667) (0.5, 0.75) (0.5, 0.25) (0.5, 0.75) (0.5, 0.6666666666666667) (0.3333333333333333, 0.6666666666666667) (0.5, 0.5) (0.5, 0.75) (0.3333333333333333, 0.5) (0.3333333333333333, 0.5) (0.5, 0.5) 45.03214772
(1.0, 0.5) (1.0, 0.33333333333333337) (1.0, 0.4) (1.0, 0.19999999999999996) (1.0, 0.25) (1.0, 0.8) (0.5, 0.4) (0.5, 0.25) (0.5, 0.25) (0.25, 0.6666666666666667) (0.5, 0.25) (0.5, 0.5) (0.5, 0.5) (0.5, 0.33333333333333337) (0.5, 0.6666666666666667) (0.5, 0.25) (0.5, 0.75) (1.0, 0.5) (0.3333333333333333, 0.5) (0.3333333333333333, 0.5) 206.21471024
(1.0, 0.25) (1.0, 0.33333333333333337) (1.0, 0.19999999999999996) (1.0, 0.6) (1.0, 0.5) (1.0, 0.8) (0.5, 0.8) (0.3333333333333333, 0.75) (0.5, 0.5) (0.5, 0.33333333333333337) (0.3333333333333333, 0.75) (0.5, 0.75) (0.5, 0.5) (0.5, 0.33333333333333337) (0.5, 0.6666666666666667) (0.5, 0.25) (0.5, 0.5) (0.5, 0.5) (0.5, 0.5) (0.3333333333333333, 0.5) 33.59336989
(1.0, 0.75) (1.0, 0.6666666666666667) (0.25, 0.4) (0.3333333333333333, 0.7) (1.0, 0.5) (1.0, 0.4) (0.5, 0.6) (1.0, 0.25) (0.5, 0.25) (0.5, 0.33333333333333337) (0.5, 0.25) (1.0, 0.25) (0.5, 0.5) (0.3333333333333333, 0.33333333333333337) (0.5, 0.33333333333333337) (0.5, 0.5) (1.0, 0.25) (0.5, 0.5) (0.3333333333333333, 0.5) (0.5, 0.5) 186.74389526
(1.0, 0.75) (1.0, 0.6666666666666667) (1.0, 0.4) (1.0, 0.19999999999999996) (1.0, 0.75) (1.0, 0.8) (0.5, 0.19999999999999996) (0.5, 0.75) (1.0, 0.25) (1.0, 0.33333333333333337) (1.0, 0.25) (1.0, 0.75) (1.0, 0.5) (0.5, 0.33333333333333337) (0.5, 0.6666666666666667) (1.0, 0.5) (0.5, 0.5) (0.5, 0.5) (0.5, 0.5) (0.3333333333333333, 0.5) 14.05326811
(0.5, 0.25) (0.5, 0.6666666666666667) (0.5, 0.6) (0.5, 0.4) (0.5, 0.75) (1.0, 0.19999999999999996) (0.5, 0.19999999999999996) (0.5, 0.5) (0.5, 0.5) (0.5, 0.33333333333333337) (0.5, 0.25) (0.5, 0.75) (0.5, 0.25) (0.5, 0.33333333333333337) (0.5, 0.6666666666666667) (0.3333333333333333, 0.5) (0.3333333333333333, 0.75) (0.5, 0.5) (0.3333333333333333, 0.5) (0.5, 0.5) 51.40228179
(0.5, 0.5) (0.5, 0.6666666666666667) (1.0, 0.19999999999999996) (0.5, 0.7) (0.5, 0.75) (0.5, 0.4) (0.5, 0.4) (0.3333333333333333, 0.75) (0.5, 0.5) (0.3333333333333333, 0.6666666666666667) (0.3333333333333333, 0.75) (0.5, 0.25) (0.5, 0.75) (0.3333333333333333, 0.6666666666666667) (0.5, 0.33333333333333337) (0.3333333333333333, 0.25) (0.3333333333333333, 0.75) (0.3333333333333333, 0.5) (0.3333333333333333, 0.5) (0.3333333333333333, 0.5) 118.73610248
(1.0, 0.75) (1.0, 0.33333333333333337) (0.3333333333333333, 0.19999999999999996) (1.0, 0.19999999999999996) (0.5, 0.75) (1.0, 0.19999999999999996) (1.0, 0.19999999999999996) (1.0, 0.25) (0.5, 0.75) (0.5, 0.33333333333333337) (0.5, 0.75) (1.0, 0.5) (1.0, 0.5) (0.5, 0.33333333333333337) (1.0, 0.33333333333333337) (0.5, 0.75) (1.0, 0.75) (0.5, 0.5) (0.5, 0.5) (1.0, 0.5) 13.97857061
