Recency Frequency Monetary Time Runtime
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06791110
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.25, 0.625668449197861) 0.06790323
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06798369
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06794627
(0.0, 0.0) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.8048128342245989) 0.08149325
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06800317
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.25, 0.625668449197861) 0.06792203
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06791595
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06803972
(0.0, 0.0) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.8048128342245989) 0.08170244
(0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.07390407
(0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) (0.3333333333333333, 0.625668449197861) 0.06944271
(0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.07385192
(0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.07364804
(0.0, 0.0) (0.5, 0.22994652406417115) (0.0, 0.0) (0.5, 0.8048128342245989) 0.06843374
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.07059853
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.25, 0.625668449197861) 0.06808301
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.07070515
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.07067942
(0.0, 0.0) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.8048128342245989) 0.08176621
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06792220
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.25, 0.625668449197861) 0.06806638
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06788927
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06809742
(0.0, 0.0) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.8048128342245989) 0.08168670
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06799243
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.25, 0.625668449197861) 0.06809765
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06784831
(0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06797544
(0.0, 0.0) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.8048128342245989) 0.08170452
(0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.07364232
(0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) (0.3333333333333333, 0.625668449197861) 0.06945402
(0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.07364925
(0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.07384707
(0.0, 0.0) (0.5, 0.22994652406417115) (0.0, 0.0) (0.5, 0.8048128342245989) 0.06830988
(0.0, 0.0) (0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) 0.07379191
(0.0, 0.0) (0.0, 0.0) (1.0, 0.22994652406417115) (0.3333333333333333, 0.625668449197861) 0.06948660
(0.0, 0.0) (0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) 0.07386628
(0.0, 0.0) (0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) 0.07409755
(0.0, 0.0) (0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.8048128342245989) 0.06848542
(0.0, 0.0) (0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) 0.07372876
(0.0, 0.0) (0.0, 0.0) (1.0, 0.22994652406417115) (0.3333333333333333, 0.625668449197861) 0.06946958
(0.0, 0.0) (0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) 0.07379948
(0.0, 0.0) (0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) 0.07379007
(0.0, 0.0) (0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.8048128342245989) 0.06833823
(0.0, 0.0) (0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) 0.07373828
(0.0, 0.0) (0.0, 0.0) (1.0, 0.22994652406417115) (0.3333333333333333, 0.625668449197861) 0.06944525
(0.0, 0.0) (0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) 0.07362217
(0.0, 0.0) (0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) 0.07378802
(0.0, 0.0) (0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.8048128342245989) 0.06855743
(0.0, 0.0) (0.0, 0.0) (0.0, 0.0) (1.0, 0.8048128342245989) 0.07393515
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.22440686
(0.3333333333333333, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.25, 0.625668449197861) 0.10559301
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.11608716
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.11606220
(0.25, 0.47593582887700536) (0.25, 0.22994652406417115) (0.25, 0.22994652406417115) (0.25, 0.8048128342245989) 0.12756128
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.09476931
(0.3333333333333333, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.25, 0.625668449197861) 0.08195134
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.08724761
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.08716325
(0.25, 0.47593582887700536) (0.25, 0.22994652406417115) (0.25, 0.22994652406417115) (0.25, 0.8048128342245989) 0.09544748
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.09509348
(0.3333333333333333, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.25, 0.625668449197861) 0.08184791
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.08684647
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.08677077
(0.25, 0.47593582887700536) (0.25, 0.22994652406417115) (0.25, 0.22994652406417115) (0.25, 0.8048128342245989) 0.09551336
(0.5, 0.47593582887700536) (0.5, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.06832220
(0.5, 0.22593582887700536) (0.5, 0.22994652406417115) (0.0, 0.0) (0.3333333333333333, 0.625668449197861) 0.06431250
(0.5, 0.47593582887700536) (0.5, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.06832830
(0.5, 0.47593582887700536) (0.5, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.06848725
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) (0.3333333333333333, 0.8048128342245989) 0.08215256
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.09509365
(0.3333333333333333, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.25, 0.625668449197861) 0.08165760
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.08681733
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.08695930
(0.25, 0.47593582887700536) (0.25, 0.22994652406417115) (0.25, 0.22994652406417115) (0.25, 0.8048128342245989) 0.09534924
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.08153245
(0.3333333333333333, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.25, 0.625668449197861) 0.08167440
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.08174705
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.08157935
(0.25, 0.47593582887700536) (0.25, 0.22994652406417115) (0.25, 0.22994652406417115) (0.25, 0.8048128342245989) 0.09520191
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.08132992
(0.3333333333333333, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.25, 0.625668449197861) 0.08172494
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.08162237
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.08164240
(0.25, 0.47593582887700536) (0.25, 0.22994652406417115) (0.25, 0.22994652406417115) (0.25, 0.8048128342245989) 0.09532969
(0.5, 0.47593582887700536) (0.5, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.06820571
(0.5, 0.22593582887700536) (0.5, 0.22994652406417115) (0.0, 0.0) (0.3333333333333333, 0.625668449197861) 0.06401148
(0.5, 0.47593582887700536) (0.5, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.06827837
(0.5, 0.47593582887700536) (0.5, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.06831749
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) (0.3333333333333333, 0.8048128342245989) 0.08183507
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.09475799
(0.3333333333333333, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.25, 0.625668449197861) 0.08177727
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.08700854
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.08696833
(0.25, 0.47593582887700536) (0.25, 0.22994652406417115) (0.25, 0.22994652406417115) (0.25, 0.8048128342245989) 0.09528574
(0.3333333333333333, 0.47593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.0, 0.0) 0.08125870
