checking_status duration credit_history purpose credit_amount savings_status employment installment_commitment personal_status other_parties residence_since property_magnitude age other_payment_plans housing existing_credits job num_dependents own_telephone foreign_worker Runtime
(0.5, 0.731) (0.5, 0.77) (0.5, 0.96) (0.5, 0.903) (0.5, 0.751) (1.0, 0.18300000000000005) (0.5, 0.17399999999999993) (0.5, 0.15700000000000003) (0.5, 0.6400000000000001) (0.5, 0.051999999999999935) (0.5, 0.13000000000000012) (0.5, 0.846) (0.3333333333333333, 0.526) (0.5, 0.04700000000000004) (0.5, 0.7130000000000001) (0.5, 0.633) (0.5, 0.02200000000000002) (0.5, 0.15500000000000003) (0.3333333333333333, 0.596) (0.3333333333333333, 0.03700000000000003) 52.06949593
(1.0, 0.3939999999999999) (0.5, 0.77) (0.5, 0.42999999999999994) (0.5, 0.819) (0.5, 0.751) (0.5, 0.29400000000000004) (0.5, 0.828) (0.5, 0.136) (0.5, 0.402) (0.5, 0.959) (0.5, 0.30800000000000005) (0.5, 0.846) (0.5, 0.484) (0.5, 0.18600000000000005) (0.5, 0.821) (0.5, 0.33299999999999996) (0.3333333333333333, 0.852) (0.5, 0.15500000000000003) (0.3333333333333333, 0.596) (0.3333333333333333, 0.03700000000000003) 51.06495231
(1.0, 0.45699999999999996) (0.5, 0.359) (0.5, 0.2929999999999999) (0.5, 0.6699999999999999) (0.3333333333333333, 0.749) (0.5, 0.04800000000000004) (0.5, 0.06199999999999983) (0.5, 0.136) (0.3333333333333333, 0.6900000000000001) (0.3333333333333333, 0.09299999999999997) (0.3333333333333333, 0.587) (0.3333333333333333, 0.768) (0.3333333333333333, 0.7090000000000001) (0.3333333333333333, 0.18600000000000005) (0.3333333333333333, 0.821) (0.3333333333333333, 0.367) (0.5, 0.16999999999999993) (0.3333333333333333, 0.15500000000000003) (0.3333333333333333, 0.404) (0.5, 0.03700000000000003) 137.74384709
(0.5, 0.45699999999999996) (0.5, 0.77) (0.5, 0.96) (0.5, 0.722) (0.5, 0.501) (0.5, 0.2310000000000001) (0.5, 0.4889999999999999) (0.5, 0.707) (0.3333333333333333, 0.14200000000000013) (0.5, 0.051999999999999935) (0.5, 0.43800000000000006) (0.5, 0.846) (0.5, 0.22499999999999998) (0.3333333333333333, 0.18600000000000005) (0.5, 0.7130000000000001) (0.5, 0.633) (0.5, 0.22199999999999998) (0.5, 0.845) (0.5, 0.404) (0.5, 0.03700000000000003) 42.38481663
(1.0, 0.45699999999999996) (1.0, 0.359) (0.5, 0.381) (0.5, 0.30499999999999994) (0.3333333333333333, 0.75) (0.5, 0.397) (0.5, 0.31499999999999984) (0.5, 0.524) (0.5, 0.5480000000000002) (0.5, 0.051999999999999935) (0.5, 0.13000000000000012) (0.5, 0.23199999999999998) (0.3333333333333333, 0.775) (0.3333333333333333, 0.18600000000000005) (0.5, 0.821) (0.3333333333333333, 0.367) (0.5, 0.348) (0.3333333333333333, 0.15500000000000003) (0.3333333333333333, 0.404) (0.5, 0.03700000000000003) 80.87927046
(1.0, 0.3939999999999999) (1.0, 0.359) (0.5, 0.2929999999999999) (0.5, 0.716) (0.5, 0.751) (0.5, 0.397) (0.5, 0.575) (1.0, 0.367) (0.5, 0.45200000000000007) (0.5, 0.09299999999999997) (0.5, 0.587) (0.5, 0.846) (0.5, 0.22499999999999998) (0.5, 0.8140000000000001) (0.3333333333333333, 0.892) (0.5, 0.03400000000000003) (0.5, 0.652) (0.5, 0.15500000000000003) (0.5, 0.404) (0.5, 0.03700000000000003) 26.52452415
(1.0, 0.3939999999999999) (1.0, 0.359) (0.5, 0.381) (0.5, 0.349) (0.5, 0.751) (0.5, 0.397) (0.5, 0.31499999999999984) (0.5, 0.136) (0.5, 0.5480000000000002) (0.5, 0.051999999999999935) (0.5, 0.543) (0.5, 0.28200000000000003) (0.3333333333333333, 0.775) (0.3333333333333333, 0.18600000000000005) (0.3333333333333333, 0.28700000000000003) (0.3333333333333333, 0.367) (0.5, 0.37) (0.5, 0.15500000000000003) (0.5, 0.596) (0.5, 0.03700000000000003) 59.52998603
(1.0, 0.3939999999999999) (1.0, 0.359) (1.0, 0.2929999999999999) (1.0, 0.10299999999999998) (0.5, 0.5) (0.5, 0.397) (1.0, 0.31499999999999984) (1.0, 0.367) (0.5, 0.6900000000000001) (1.0, 0.051999999999999935) (0.5, 0.587) (0.5, 0.718) (0.5, 0.484) (0.5, 0.18600000000000005) (0.5, 0.821) (0.5, 0.367) (1.0, 0.1479999999999999) (0.5, 0.15500000000000003) (0.5, 0.596) (1.0, 0.03700000000000003) 5.39666434
(1.0, 0.726) (1.0, 0.359) (0.3333333333333333, 0.42999999999999994) (1.0, 0.10299999999999998) (1.0, 0.75) (1.0, 0.397) (1.0, 0.6609999999999999) (0.3333333333333333, 0.633) (1.0, 0.14200000000000013) (1.0, 0.09299999999999997) (0.5, 0.13000000000000012) (1.0, 0.486) (1.0, 0.7090000000000001) (1.0, 0.861) (1.0, 0.821) (0.5, 0.006000000000000005) (1.0, 0.37) (0.5, 0.15500000000000003) (1.0, 0.404) (1.0, 0.03700000000000003) 15.08462099
(1.0, 0.726) (1.0, 0.359) (0.5, 0.2929999999999999) (0.5, 0.754) (0.5, 0.25) (0.5, 0.397) (0.5, 0.6539999999999999) (0.5, 0.524) (0.5, 0.6900000000000001) (0.5, 0.09299999999999997) (0.5, 0.13000000000000012) (0.3333333333333333, 0.6679999999999999) (0.5, 0.474) (0.3333333333333333, 0.18600000000000005) (0.5, 0.821) (0.5, 0.633) (1.0, 0.1479999999999999) (0.3333333333333333, 0.15500000000000003) (0.5, 0.404) (0.5, 0.03700000000000003) 44.21010096
