Recency Frequency Monetary Time Runtime
(0.25, 0.4) (0.25, 0.25) (0.25, 0.25) (0.25, 0.8) 0.09538374
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.09475626
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.25, 0.6) 0.08168069
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08677292
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08675191
(0.25, 0.4) (0.25, 0.25) (0.25, 0.25) (0.25, 0.8) 0.09543479
(0.5, 0.4) (0.5, 0.25) (0.0, 0.0) (0.0, 0.0) 0.06816967
(0.5, 0.19999999999999996) (0.5, 0.25) (0.0, 0.0) (0.3333333333333333, 0.6) 0.06394307
(0.5, 0.4) (0.5, 0.25) (0.0, 0.0) (0.0, 0.0) 0.06810739
(0.5, 0.4) (0.5, 0.25) (0.0, 0.0) (0.0, 0.0) 0.06817176
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.0, 0.0) (0.3333333333333333, 0.8) 0.08160993
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.09416594
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.25, 0.6) 0.08137946
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08665481
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08658524
(0.25, 0.4) (0.25, 0.25) (0.25, 0.25) (0.25, 0.8) 0.09519639
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08140693
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.25, 0.6) 0.08132166
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08144972
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08153261
(0.25, 0.4) (0.25, 0.25) (0.25, 0.25) (0.25, 0.8) 0.09516997
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08140267
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.25, 0.6) 0.08139587
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08131645
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08123313
(0.25, 0.4) (0.25, 0.25) (0.25, 0.25) (0.25, 0.8) 0.09532116
(0.5, 0.4) (0.5, 0.25) (0.0, 0.0) (0.0, 0.0) 0.06821654
(0.5, 0.19999999999999996) (0.5, 0.25) (0.0, 0.0) (0.3333333333333333, 0.6) 0.06395236
(0.5, 0.4) (0.5, 0.25) (0.0, 0.0) (0.0, 0.0) 0.06834120
(0.5, 0.4) (0.5, 0.25) (0.0, 0.0) (0.0, 0.0) 0.06808836
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.0, 0.0) (0.3333333333333333, 0.8) 0.08161175
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.09427336
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.25, 0.6) 0.08132247
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08641792
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08654118
(0.25, 0.4) (0.25, 0.25) (0.25, 0.25) (0.25, 0.8) 0.09531390
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08135863
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.25, 0.6) 0.08162672
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08152458
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08130802
(0.25, 0.4) (0.25, 0.25) (0.25, 0.25) (0.25, 0.8) 0.09552894
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08139304
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.25, 0.6) 0.08153197
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08137609
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08131495
(0.25, 0.4) (0.25, 0.25) (0.25, 0.25) (0.25, 0.8) 0.09516890
(0.5, 0.4) (0.5, 0.25) (0.0, 0.0) (0.0, 0.0) 0.06804799
(0.5, 0.19999999999999996) (0.5, 0.25) (0.0, 0.0) (0.3333333333333333, 0.6) 0.06377799
(0.5, 0.4) (0.5, 0.25) (0.0, 0.0) (0.0, 0.0) 0.06825233
(0.5, 0.4) (0.5, 0.25) (0.0, 0.0) (0.0, 0.0) 0.06817540
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.0, 0.0) (0.3333333333333333, 0.8) 0.08204776
(0.5, 0.4) (0.0, 0.0) (0.5, 0.25) (0.0, 0.0) 0.06827736
(0.5, 0.19999999999999996) (0.0, 0.0) (0.5, 0.25) (0.3333333333333333, 0.6) 0.06389883
(0.5, 0.4) (0.0, 0.0) (0.5, 0.25) (0.0, 0.0) 0.06810047
(0.5, 0.4) (0.0, 0.0) (0.5, 0.25) (0.0, 0.0) 0.06788031
(0.3333333333333333, 0.4) (0.0, 0.0) (0.3333333333333333, 0.25) (0.3333333333333333, 0.8) 0.08167250
(0.5, 0.4) (0.0, 0.0) (0.5, 0.25) (0.0, 0.0) 0.06828364
(0.5, 0.19999999999999996) (0.0, 0.0) (0.5, 0.25) (0.3333333333333333, 0.6) 0.06381556
(0.5, 0.4) (0.0, 0.0) (0.5, 0.25) (0.0, 0.0) 0.06813946
(0.5, 0.4) (0.0, 0.0) (0.5, 0.25) (0.0, 0.0) 0.06815386
(0.3333333333333333, 0.4) (0.0, 0.0) (0.3333333333333333, 0.25) (0.3333333333333333, 0.8) 0.08170982
(0.5, 0.4) (0.0, 0.0) (0.5, 0.25) (0.0, 0.0) 0.06816537
(0.5, 0.19999999999999996) (0.0, 0.0) (0.5, 0.25) (0.3333333333333333, 0.6) 0.06384955
(0.5, 0.4) (0.0, 0.0) (0.5, 0.25) (0.0, 0.0) 0.06816433
(0.5, 0.4) (0.0, 0.0) (0.5, 0.25) (0.0, 0.0) 0.06813873
(0.3333333333333333, 0.4) (0.0, 0.0) (0.3333333333333333, 0.25) (0.3333333333333333, 0.8) 0.08157844
(1.0, 0.4) (0.0, 0.0) (0.0, 0.0) (0.0, 0.0) 0.07382930
(1.0, 0.19999999999999996) (0.0, 0.0) (0.0, 0.0) (0.5, 0.6) 0.06092161
(1.0, 0.4) (0.0, 0.0) (0.0, 0.0) (0.0, 0.0) 0.07354127
(1.0, 0.4) (0.0, 0.0) (0.0, 0.0) (0.0, 0.0) 0.07380844
(0.5, 0.4) (0.0, 0.0) (0.0, 0.0) (0.5, 0.8) 0.06833063
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.19435737
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.25, 0.6) 0.10454189
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.10439608
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.10435952
(0.25, 0.4) (0.25, 0.25) (0.25, 0.25) (0.25, 0.8) 0.11832619
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08111267
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.25, 0.6) 0.08113296
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08143121
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08109316
(0.25, 0.4) (0.25, 0.25) (0.25, 0.25) (0.25, 0.8) 0.09500000
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08113671
(0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.25, 0.6) 0.08126764
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08107630
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08112811
(0.25, 0.4) (0.25, 0.25) (0.25, 0.25) (0.25, 0.8) 0.09495993
(0.5, 0.4) (0.5, 0.25) (0.0, 0.0) (0.0, 0.0) 0.06799677
(0.5, 0.19999999999999996) (0.5, 0.25) (0.0, 0.0) (0.3333333333333333, 0.6) 0.06403970
(0.5, 0.4) (0.5, 0.25) (0.0, 0.0) (0.0, 0.0) 0.06808248
(0.5, 0.4) (0.5, 0.25) (0.0, 0.0) (0.0, 0.0) 0.06791183
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.0, 0.0) (0.3333333333333333, 0.8) 0.08160511
(0.3333333333333333, 0.4) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.0, 0.0) 0.08130565
